ID,Target,Age,RFM,LifetimeDonation,Degrees,YearsSinceGrad,Male,Alum,InclinationScore,EventsAttended
296,0,24,0,0,1,3,1,1,2,3
297,0,30,0,0,1,3,0,1,2,3
298,0,23,0,0,1,3,1,1,2,3
299,0,28,0,0,2,2,1,1,2,3
300,0,24,0,0,1,2,1,1,2,3
301,0,25,0,0,1,2,1,1,2,3
302,0,24,0,0,2,2,0,1,2,3
303,0,23,0,0,1,2,0,1,2,3
304,0,25,0,0,2,2,0,1,2,3
305,0,24,0,0,1,2,0,1,1,3
306,0,24,0,0,2,2,0,1,1,3
307,0,23,0,0,1,2,1,1,1,3
308,1,29,0,50,2,3,0,1,4,2
309,0,23,0,275,1,3,1,1,4,2
310,0,29,0,0,2,3,0,1,4,2
311,0,25,0,275,1,3,1,1,4,2
312,0,26,0,0,2,3,0,1,4,2
313,0,27,0,0,2,3,1,1,4,2
314,0,28,0,0,2,3,1,1,4,2
315,0,34,0,0,2,3,0,1,4,2
316,0,22,0,150,1,3,1,1,4,2
317,0,23,7,20.16,1,3,0,1,4,2
318,0,27,0,0,2,3,1,1,4,2
319,0,22,0,0,1,3,0,1,4,2
320,0,22,7,50,1,3,0,1,4,2
321,0,26,0,0,2,3,0,1,4,2
322,0,24,0,0,1,3,1,1,4,2
323,0,29,0,30,2,3,1,1,4,2
324,0,55,0,0,2,3,0,1,4,2
325,0,27,0,0,2,3,0,1,4,2
326,0,29,0,0,2,3,0,1,4,2
327,0,22,0,275,1,3,1,1,4,2
328,0,35,10,215,2,3,0,1,4,2
329,0,27,0,0,2,3,0,1,4,2
330,0,26,0,0,2,3,0,1,4,2
331,0,23,9,1000,1,3,1,1,4,2
332,0,27,0,0,2,3,1,1,4,2
333,0,37,0,100,3,3,1,1,4,2
334,0,27,0,200,1,3,1,1,4,2
335,0,30,0,0,2,3,0,1,4,2
336,0,35,0,0,2,3,0,1,4,2
337,0,27,0,0,3,3,1,1,4,2
338,0,23,8,70,1,3,0,1,4,2
339,0,22,0,50,1,3,1,1,4,2
340,0,27,0,0,3,3,1,1,4,2
341,0,40,0,90,2,3,0,1,4,2
342,0,28,0,0,2,3,0,1,4,2
343,0,45,0,0,2,3,1,1,4,2
344,0,26,0,0,2,3,0,1,4,2
345,0,28,0,0,2,3,1,1,4,2
346,0,29,0,0,4,3,0,1,4,2
347,0,27,0,0,2,3,0,1,4,2
348,0,28,0,0,4,3,1,1,4,2
349,0,27,0,0,2,3,1,1,4,2
350,0,26,0,0,2,3,1,1,4,2
351,0,27,0,0,2,3,0,1,4,2
352,0,36,0,0,2,3,0,1,4,2
353,0,52,8,100,2,3,0,1,4,2
354,0,25,0,0,2,3,0,1,4,2
355,0,60,0,0,2,3,1,1,4,2
356,0,38,0,0,2,3,1,1,4,2
357,0,34,0,0,2,3,0,1,4,2
358,0,32,0,0,2,3,1,1,4,2
359,0,23,8,150,1,3,0,1,4,2
360,0,28,0,0,2,3,1,1,4,2
361,0,26,8,400,2,3,0,1,4,2
362,0,25,0,20,2,3,0,1,4,2
363,0,32,0,0,2,3,1,1,4,2
364,0,33,0,0,4,3,0,1,4,2
365,0,25,0,0,2,3,0,1,4,2
366,1,39,0,0,3,2,0,1,4,2
367,1,36,0,263,3,2,1,1,4,2
368,1,35,0,0,3,2,0,1,4,2
369,0,25,0,0,2,2,0,1,4,2
370,0,31,0,0,2,2,0,1,4,2
371,0,31,0,0,2,2,1,1,4,2
372,0,29,7,10,2,2,1,1,4,2
373,0,24,0,500,1,2,1,1,4,2
374,0,29,0,0,2,2,0,1,4,2
375,0,28,9,220,2,2,1,1,4,2
376,0,27,0,200,2,2,0,1,4,2
377,0,41,0,0,2,2,0,1,4,2
378,0,28,0,0,2,2,0,1,4,2
379,0,28,0,40,2,2,0,1,4,2
380,0,30,9,250,2,2,0,1,4,2
381,0,43,13,4340,1,2,0,1,4,2
382,0,24,0,400,1,2,1,1,4,2
383,0,28,7,50,2,2,0,1,4,2
384,0,36,0,0,2,2,1,1,4,2
385,0,25,0,0,2,2,0,1,4,2
386,0,29,8,350,2,2,0,1,4,2
387,0,57,0,0,3,2,1,1,4,2
388,0,62,12,50721,3,2,1,1,4,2
389,0,41,0,0,2,2,0,1,4,2
390,0,34,0,0,2,2,0,1,4,2
391,0,44,0,0,2,2,0,1,4,2
392,0,23,0,1375,1,2,1,1,4,2
393,0,30,0,0,2,2,1,1,4,2
394,0,31,0,0,2,2,0,1,4,2
395,0,26,9,375,2,2,1,1,4,2
396,0,45,0,0,3,2,1,1,4,2
397,0,23,0,269.62,1,2,0,1,4,2
398,0,25,0,0,2,2,0,1,4,2
399,0,27,0,0,2,2,1,1,4,2
400,0,33,0,0,1,2,1,1,4,2
401,0,33,0,0,2,2,0,1,4,2
402,0,23,10,1227.5,1,2,1,1,4,2
403,0,33,0,0,2,2,0,1,4,2
404,0,27,0,0,2,2,0,1,4,2
405,0,27,9,150,2,2,1,1,4,2
406,0,26,0,0,2,2,0,1,4,2
407,0,23,0,0,1,2,0,1,4,2
408,0,34,0,0,3,2,1,1,4,2
409,0,26,0,0,2,2,0,1,4,2
410,0,24,0,0,1,2,0,1,4,2
411,0,33,0,0,2,2,0,1,4,2
412,0,28,8,350,2,2,0,1,4,2
413,0,25,0,0,2,2,1,1,4,2
414,0,27,9,360,2,2,1,1,4,2
415,0,28,0,40,2,2,1,1,4,2
416,0,23,0,0,2,2,1,1,4,2
417,0,67,0,0,2,2,0,1,4,2
418,0,29,0,0,2,2,1,1,4,2
419,0,28,0,0,3,2,0,1,4,2
420,0,29,0,0,2,2,1,1,4,2
421,0,58,0,0,2,2,0,1,4,2
422,0,32,0,0,4,2,1,1,4,2
423,0,32,0,0,2,2,1,1,4,2
424,0,30,0,0,2,2,1,1,4,2
425,0,40,0,150,3,2,0,1,4,2
426,0,24,0,2000,1,2,0,1,4,2
427,0,25,0,0,2,2,1,1,4,2
428,0,25,0,0,2,2,0,1,4,2
429,0,29,0,0,2,2,0,1,4,2
430,0,33,0,0,2,2,1,1,4,2
431,0,24,0,250,1,2,0,1,4,2
432,0,28,0,0,2,2,1,1,4,2
433,0,36,0,15,2,2,0,1,4,2
434,0,25,0,0,1,2,0,1,4,2
435,0,31,0,0,2,2,1,1,4,2
436,0,36,0,0,2,2,0,1,4,2
437,0,28,8,350,1,2,0,1,4,2
438,0,27,8,250,1,2,0,1,4,2
439,0,31,0,0,2,2,1,1,4,2
440,0,31,0,0,2,2,0,1,4,2
441,0,50,2,10,4,2,0,1,4,2
442,0,25,0,0,1,2,1,1,4,2
443,0,31,0,0,2,2,1,1,4,2
444,0,32,0,0,1,2,0,1,4,2
445,0,25,0,424,1,2,0,1,4,2
446,0,27,0,0,2,2,1,1,4,2
447,0,53,4,40,2,2,1,1,4,2
448,0,27,0,0,2,2,1,1,4,2
449,0,27,0,0,1,2,0,1,4,2
450,0,41,0,0,2,2,0,1,4,2
451,0,24,9,157.39999,1,2,0,1,4,2
452,0,26,0,0,2,2,1,1,4,2
453,0,28,0,0,2,2,0,1,4,2
454,0,27,0,0,2,2,0,1,4,2
455,0,36,0,200,3,2,1,1,4,2
456,0,29,0,0,2,2,1,1,4,2
457,0,36,0,0,2,2,0,1,4,2
458,0,40,8,350,1,2,1,1,4,2
459,0,30,0,0,2,2,1,1,4,2
460,0,29,0,200,1,2,1,1,4,2
461,0,24,0,2628,1,2,1,1,4,2
